time,open,high,low,close,volume
Mon Mar 01 13:10:00 GMT 2021,123.44,123.46,123.44,123.46,1600
Mon Mar 01 13:11:00 GMT 2021,123.46,123.46,123.43,123.45,3881
Mon Mar 01 13:12:00 GMT 2021,123.45,123.52,123.45,123.52,4935
Mon Mar 01 13:13:00 GMT 2021,123.52,123.56,123.51,123.52,6823
Mon Mar 01 13:14:00 GMT 2021,123.55,123.58,123.52,123.58,5636
Mon Mar 01 13:15:00 GMT 2021,123.58,123.61,123.56,123.59,18690
Mon Mar 01 13:16:00 GMT 2021,123.56,123.6,123.52,123.6,8516
Mon Mar 01 13:17:00 GMT 2021,123.6,123.66,123.6,123.62,17212
Mon Mar 01 13:18:00 GMT 2021,123.64,123.689,123.63,123.689,4336
Mon Mar 01 13:19:00 GMT 2021,123.69,123.7,123.6,123.63,9379
Mon Mar 01 13:20:00 GMT 2021,123.62,123.64,123.6,123.64,9860
Mon Mar 01 13:21:00 GMT 2021,123.62,123.65,123.6,123.61,14933
Mon Mar 01 13:22:00 GMT 2021,123.6,123.63,123.6,123.6,8810
Mon Mar 01 13:23:00 GMT 2021,123.6,123.6,123.33,123.33,40138
Mon Mar 01 13:24:00 GMT 2021,123.33,123.37,123.3,123.37,7781
Mon Mar 01 13:25:00 GMT 2021,123.37,123.4,123.35,123.37,7570
Mon Mar 01 13:26:00 GMT 2021,123.39,123.44,123.39,123.4,7644
Mon Mar 01 13:27:00 GMT 2021,123.41,123.52,123.36,123.51,7236
Mon Mar 01 13:28:00 GMT 2021,123.53,123.58,123.51,123.51,13103
Mon Mar 01 13:29:00 GMT 2021,123.52,123.54,123.5,123.54,7026
Mon Mar 01 13:30:00 GMT 2021,123.511,123.56,123.5,123.5,12568
Mon Mar 01 13:31:00 GMT 2021,123.45,123.5,123.34,123.35,33023
Mon Mar 01 13:32:00 GMT 2021,123.36,123.4,123.36,123.37,3898
Mon Mar 01 13:33:00 GMT 2021,123.4,123.4,123.37,123.4,11265
Mon Mar 01 13:34:00 GMT 2021,123.39,123.42,123.35,123.42,9008
Mon Mar 01 13:35:00 GMT 2021,123.42,123.5,123.38,123.5,7778
Mon Mar 01 13:36:00 GMT 2021,123.5,123.5,123.4,123.43,5858
Mon Mar 01 13:37:00 GMT 2021,123.4,123.44,123.36,123.44,6955
Mon Mar 01 13:38:00 GMT 2021,123.44,123.5,123.44,123.45,10624
Mon Mar 01 13:39:00 GMT 2021,123.47,123.5,123.47,123.5,8417
Mon Mar 01 13:40:00 GMT 2021,123.48,123.48,123.47,123.48,4842
Mon Mar 01 13:41:00 GMT 2021,123.5,123.5,123.46,123.46,9379
Mon Mar 01 13:42:00 GMT 2021,123.45,123.47,123.44,123.46,8236
Mon Mar 01 13:43:00 GMT 2021,123.47,123.47,123.45,123.45,11728
Mon Mar 01 13:44:00 GMT 2021,123.4,123.4,123.4,123.4,1468
Mon Mar 01 13:45:00 GMT 2021,123.47,123.5,123.46,123.48,6829
Mon Mar 01 13:46:00 GMT 2021,123.49,123.49,123.4,123.4,8679
Mon Mar 01 13:47:00 GMT 2021,123.39,123.4,123.36,123.36,10242
Mon Mar 01 13:48:00 GMT 2021,123.36,123.38,123.35,123.38,10500
Mon Mar 01 13:49:00 GMT 2021,123.39,123.4,123.36,123.4,8750
Mon Mar 01 13:50:00 GMT 2021,123.39,123.4,123.39,123.4,9432
Mon Mar 01 13:51:00 GMT 2021,123.44,123.5,123.44,123.49,5535
Mon Mar 01 13:52:00 GMT 2021,123.5,123.6,123.5,123.55,19470
Mon Mar 01 13:53:00 GMT 2021,123.58,123.6,123.55,123.6,9864
Mon Mar 01 13:54:00 GMT 2021,123.57,123.6,123.54,123.57,3690
Mon Mar 01 13:55:00 GMT 2021,123.57,123.61,123.54,123.61,9940
Mon Mar 01 13:56:00 GMT 2021,123.59,123.6,123.59,123.59,15602
Mon Mar 01 13:57:00 GMT 2021,123.6,123.65,123.6,123.65,15645
Mon Mar 01 13:58:00 GMT 2021,123.63,123.68,123.62,123.65,11587
Mon Mar 01 13:59:00 GMT 2021,123.68,123.68,123.63,123.65,8663
Mon Mar 01 14:00:00 GMT 2021,123.67,123.77,123.67,123.72,14237
Mon Mar 01 14:01:00 GMT 2021,123.72,123.74,123.65,123.68,10464
Mon Mar 01 14:02:00 GMT 2021,123.65,123.65,123.55,123.55,15754
Mon Mar 01 14:03:00 GMT 2021,123.56,123.66,123.56,123.6,12774
Mon Mar 01 14:04:00 GMT 2021,123.67,123.72,123.65,123.72,8160
Mon Mar 01 14:05:00 GMT 2021,123.72,123.8,123.5,123.6,30846
Mon Mar 01 14:06:00 GMT 2021,123.6,123.6,123.44,123.5,32258
Mon Mar 01 14:07:00 GMT 2021,123.52,123.52,123.41,123.45,12196
Mon Mar 01 14:08:00 GMT 2021,123.45,123.51,123.42,123.43,19036
Mon Mar 01 14:09:00 GMT 2021,123.47,123.47,123.4,123.41,6019
Mon Mar 01 14:10:00 GMT 2021,123.43,123.49,123.42,123.49,7038
Mon Mar 01 14:11:00 GMT 2021,123.48,123.6,123.48,123.6,10285
Mon Mar 01 14:12:00 GMT 2021,123.62,123.74,123.61,123.72,11661
Mon Mar 01 14:13:00 GMT 2021,123.73,123.88,123.73,123.83,20689
Mon Mar 01 14:14:00 GMT 2021,123.84,123.9,123.83,123.87,18691
Mon Mar 01 14:15:00 GMT 2021,123.87,123.87,123.7,123.72,15168
Mon Mar 01 14:16:00 GMT 2021,123.73,123.73,123.7,123.72,14961
Mon Mar 01 14:17:00 GMT 2021,123.7,123.71,123.64,123.71,9497
Mon Mar 01 14:18:00 GMT 2021,123.71,123.78,123.71,123.76,11276
Mon Mar 01 14:19:00 GMT 2021,123.74,123.75,123.73,123.74,6931
Mon Mar 01 14:20:00 GMT 2021,123.75,123.8,123.7,123.72,16671
